,분류,운동을 할 충분한 시간이 없어서,함께 운동을 할 사람이 없어서,운동을 할 만한 장소가 없어서,운동을 싫어해서,운동을 할 충분한 비용이 없어서,기타
27,종로구,62.2,0.4,9.4,25.9,2.1,-
28,중구,50.3,3.0,7.7,25.7,7.6,5.7
29,용산구,48.9,7.5,4.9,32.6,2.7,3.4
30,성동구,46.5,4.3,5.7,34.2,8.7,0.6
31,광진구,42.0,5.7,3.0,43.5,5.8,-
32,동대문구,44.5,4.5,2.7,41.9,6.2,0.1
33,중랑구,46.7,2.2,6.8,32.8,10.9,0.5
34,성북구,33.3,3.4,2.6,58.0,2.0,0.7
35,강북구,21.3,5.3,3.4,68.1,1.9,-
36,도봉구,52.0,3.2,6.2,30.8,7.6,0.3
37,노원구,56.3,1.6,2.7,30.1,1.9,7.4
38,은평구,42.7,8.8,7.3,34.3,6.4,0.5
39,서대문구,69.8,0.8,1.2,21.9,5.3,1
40,마포구,46.6,8.1,4.7,35.8,3.2,1.5
41,양천구,66.2,5.7,5.9,17.9,4.1,0.1
42,강서구,38.5,3.8,1.9,50.5,4.3,1
43,구로구,45.3,5.7,5.8,39.0,2.9,1.3
44,금천구,53.6,2.4,2.3,37.6,2.3,1.7
45,영등포구,50.2,6.7,3.8,33.9,5.4,-
46,동작구,39.1,13.9,8.4,31.1,7.6,-
47,관악구,44.4,8.8,5.5,34.2,6.1,1
48,서초구,49.9,4.3,4.1,36.6,3.3,1.8
49,강남구,40.7,4.2,2.0,46.4,5.2,1.6
50,송파구,47.6,5.0,2.3,39.4,4.8,1
51,강동구,47.0,5.2,4.8,32.4,8.4,2.3
